Sinplus feat. Mickey Shiloh,380
Redwood,377
Sinplus feat. Lady Chann,369
Härz,368
Männer am Meer feat. Kuno Lauener,365
Claude,363
Caroline Chevin,360
Nicole Bernegger,356
Sepp mit Stixi & Sonja,351
Ira May | Noah Veraguth | Lo & Leduc,351
Olivia Gray,350
Eliane,346
Nita [CH],344
Francine Jordi,341
Stress & Noah Veraguth,339
Solo Dos,338
Loredana,332
Dani König,330
Mr. Da-Nos feat. Freakout,330
Stéphanie Berger,328
Robert Miles feat. Kathy Sledge,324
Yello feat. Heidi Happy,317
Santiago Cortés Presents Wonderland,317
Carma,317
Remady & Manu-L feat. Amanda Wilson,316
Heimweh,315
Stress feat. Kaspar E. Glättli III,313
Jack Holiday & Mike Candys,312
Maury,311
Dada (Ante Portas),308
Stress feat. Sway Clarke II,307
Edita Abdieski,302
Sepp,295
F.Y.N.O.,291
Polo Hofer,289
Oesch's die Dritten,284
Camen,281
Flava & Stevenson vs. Fat-K feat. Cesca Lara,279
Selina & Hanspeter,258
BBQrew,252
Chris von Rohr,250
Mave,246
Sandee feat. Gölä,243
Tatana feat. Joanna,241
DJ BoBo & Mike Candys,238
Leme,236
Vivien,234
Stefanie Heinzmann feat. Gentleman,231
Nadim & Fäbu feat. Bahar,228
Furbaz,226
DJ Antoine feat. Mish,226
Mr. French Junior,223
Schluneggers Heimweh,223
Irrwisch,218
OBK feat. Trio Eugster,217
SEBalter,215
Freeg,211
Energy AllStars,210
Kandlbauer feat. Ken Hensley,209
Elements feat. Eugene,206
Bündnerflaisch,203
MiNa [CH],201
Brown & Bondi,193
Sir Colin,192
Tres Amigos feat. Alcira,191
Tamy,191
Dankner feat. Tyron Ricketts,189
Flava & Stevenson,188
Phenomden,188
Manillio,187
FreeG feat. Good Weather Forecast,185
Jaybee feat. Morris,184
Takasa,181
Billy Bostitsch Bänd,179
DJ Tommy,173
Mike Candys feat. Jenson Vaughan,171
"Baschi / Büne Huber, Stefan vo Hecht, Dabu Fantastic, Phil Merk, Jack Stoiker, Gigi Moto, Fabienne Louves, Viola Tami",169
Starbugs,169
Danitsa,165
Kunz,161
Pure feat. Ellie Jackson,161
Mr. Da-Nos feat. The Beatrockers,161
Mr. Da-Nos feat. Akay,159
Vanessa Edita,158
Katharina Michel,155
Mike Candys feat. Maury,154
Hagelwätter Blues-Bänd,152
DJ Antoine vs Mad Mark feat. Jason Walker,152
Luca Napolitano & TinkaBelle,150
Luca Hänni & Christopher S,150
Mike Candys feat. Evelyn & Carlprit,150
Mr. Da-Nos feat. Junior-X,150
Steff La Cheffe,145
Cool NG,145
